#                     Fission barriers calculated with the ETFSI model 
#  Z   A El      cin      hin      ain      Bin     Bexp      cout     hout     aout     Bout    Bexp
#                                          [MeV]    [MeV]                               [MeV]    [MeV]
#-----------------------------------------------------------------------------------------------------
  86 221 Rn      1.23    -0.03     0.00     5.80              2.11    -0.18     0.00    12.80         
  86 222 Rn      1.24    -0.03     0.00     5.10              2.11    -0.19     0.00    12.70         
  86 223 Rn      1.24    -0.02     0.00     4.70              2.10    -0.18     0.00    12.60         
  86 224 Rn      1.25    -0.01     0.00     4.30              2.10    -0.18     0.00    12.20         
  86 225 Rn      1.24    -0.01     0.00     4.20              2.10    -0.18     0.00    12.20         
  86 226 Rn      1.25     0.00     0.00     3.90              2.10    -0.18     0.00    12.10         
  86 227 Rn      1.25     0.00     0.00     3.90              2.10    -0.18     0.00    12.20         
  86 228 Rn      1.26     0.01     0.00     3.80              2.28    -0.18     0.00    12.80         
  86 229 Rn      1.26     0.01     0.00     4.10              2.28    -0.18     0.00    13.40         
  86 230 Rn      1.27     0.02     0.00     4.10              2.28    -0.18     0.00    13.80         
  86 231 Rn      1.27     0.02     0.00     4.40              2.28    -0.18     0.00    14.20         
  86 232 Rn      1.28     0.03     0.00     4.40              2.28    -0.18     0.00    14.70         
  86 233 Rn      1.28     0.03     0.00     4.90              2.28    -0.18     0.00    15.20         
  86 234 Rn      1.28     0.04     0.00     4.90              1.92    -0.04     0.53    16.30         
