#           Level density parameters for the EGSM model
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da     a-asym   -da    a_sys
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#-----------------------------------------------------------------------------------------------------
  66 164 Dy  2.5  7.658    .68000E-02    .60000E-03    .11000E+01   .1500 13.1735   .1367  13.761
  66 165 Dy   .0  5.715    .15000E+00    .10000E-01    .94300E+00   .1238 13.1330   .1119  13.732
  67 166 Ho  3.5  6.244    .42000E-02    .50000E-03    .81900E+00   .1963 12.5801   .1713  12.577
  68 163 Er   .0  6.902    .69000E-02    .12000E-02    .24410E+01   .3367 15.9836   .2804  14.754
  68 165 Er   .0  6.649    .21000E-01    .40000E-02    .18520E+01   .3644 14.5167   .2972  14.368
  68 167 Er   .0  6.436    .38000E-01    .30000E-02    .10920E+01   .1392 13.7915   .1277  13.786
  68 168 Er  3.5  7.771    .42000E-02    .30000E-03    .96800E+00   .1210 13.3187   .1118  13.724
  68 169 Er   .0  6.003    .10000E+00    .10000E-01    .73500E+00   .1815 13.0881   .1625  13.602
  68 171 Er   .0  5.682    .14700E+00    .20000E-01    .50300E+00   .2604 13.1557   .2253  13.527
  69 170 Tm   .5  6.593    .85000E-02    .70000E-03    .66600E+00   .1287 12.7173   .1162  12.963
  69 171 Tm  1.0  7.486    .39000E-02    .10000E-02    .73900E+00   .4525 13.3578   .3459  13.107
  70 169 Yb   .0  6.867    .80000E-02    .30000E-02    .16670E+01   .8232 15.6061   .5471  13.913
  70 170 Yb  3.5  8.470    .16000E-02    .40000E-03    .13960E+01   .4482 13.4959   .3435  13.692
  70 171 Yb   .0  6.614    .35000E-01    .60000E-02    .11080E+01   .3130 13.5488   .2609  13.547
  70 172 Yb   .5  8.020    .69000E-02    .50000E-03    .91600E+00   .1204 13.9409   .1126  13.417
  70 173 Yb   .0  6.367    .76000E-01    .50000E-02    .52200E+00   .1113 12.6610   .1039  13.135
  70 174 Yb  2.5  7.464    .75000E-02    .50000E-03    .52700E+00   .1137 13.2596   .1061  13.211
  70 175 Yb   .0  5.822    .19200E+00    .18000E-01    .33400E+00   .1684 12.3113   .1515  13.108
  70 177 Yb   .0  5.567    .24000E+00    .20000E-01    .31600E+00   .1546 12.5533   .1399  13.242
  71 176 Lu  3.5  6.288    .34500E-02    .15000E-03    .47400E+00   .0679 12.7799   .0647  13.134
  71 177 Lu  7.0  7.072    .16100E-02    .16000E-03    .78900E+00   .1747 13.8811   .1564  13.513
  72 175 Hf   .0  6.709    .18000E-01    .50000E-02    .13110E+01   .5566 14.5307   .4144  14.391
  72 177 Hf   .0  6.377    .30000E-01    .70000E-02    .93400E+00   .4651 14.3582   .3622  14.182
  72 178 Hf  3.5  7.626    .24000E-02    .30000E-03    .95700E+00   .2303 14.5607   .2017  14.269
  72 179 Hf   .0  6.099    .57000E-01    .60000E-02    .68500E+00   .1951 13.8726   .1749  14.089
  72 180 Hf  4.5  7.388    .46000E-02    .30000E-03    .60200E+00   .1153 13.6811   .1074  14.068
  72 181 Hf   .0  5.695    .94000E-01    .15000E-01    .40500E+00   .3184 13.9624   .2690  13.956
  73 181 Ta  9.0  7.577    .12000E-02    .20000E-03    .52500E+00   .2903 13.2651   .2431  13.217
  73 182 Ta  3.5  6.063    .42000E-02    .30000E-03    .22500E+00   .1183 12.9025   .1077  13.016
  73 183 Ta  3.0  6.934    .35000E-02    .70000E-03    .52000E+00   .3623 13.4441   .2926  13.371
  74 181 W    .0  6.681    .20000E-01    .70000E-02    .65300E+00   .7308 14.2325   .5010  14.206
  74 183 W    .0  6.191    .60000E-01    .60000E-02    .24300E+00   .1801 13.4200   .1622  13.940
  74 184 W    .5  7.411    .12000E-01    .10000E-02    .31300E+00   .1500 14.2149   .1341  14.085
  74 185 W    .0  5.753    .75000E-01    .70000E-02    .25400E+00   .1791 14.1717   .1623  14.109
  74 187 W    .0  5.467    .99000E-01    .80000E-02    .12100E+00   .1603 14.4261   .1463  14.116
  75 186 Re  2.5  6.180    .31000E-02    .30000E-03    .41000E-01   .1623 13.4593   .1462  13.618
  75 188 Re  2.5  5.871    .39000E-02    .30000E-03   -.15500E+00   .1333 13.7204   .1201  13.564
  76 187 Os   .0  6.293    .29000E-01    .20000E-02    .17800E+00   .1262 14.4086   .1151  14.630
  76 188 Os   .5  7.989    .51000E-02    .20000E-03   -.15800E+00   .0654 14.1292   .0606  14.340
  76 189 Os   .0  5.920    .47000E-01    .40000E-02   -.19400E+00   .1601 14.3971   .1466  14.367
  76 190 Os  1.5  7.791    .34000E-02    .40000E-03   -.66200E+00   .2036 13.9762   .1795  13.945
  76 191 Os   .0  5.758    .70000E-01    .40000E-01   -.84800E+00  1.5482 13.8782   .7971  13.768
  76 193 Os   .0  5.585    .11500E+00    .60000E-01   -.17200E+01  1.3209 13.1372   .7279  12.902
  77 192 Ir  1.5  6.198    .25000E-02    .30000E-03   -.97500E+00   .2057 14.0623   .1800  14.023
  77 193 Ir  4.0  7.771    .50000E-03    .20000E-03   -.14790E+01   .7782 13.8562   .5014  13.592
  77 194 Ir  1.5  6.067    .58000E-02    .50000E-03   -.20310E+01   .1400 12.7172   .1259  12.994
  78 193 Pt   .0  6.255    .31400E-01    .13000E-02   -.11920E+01   .0721 13.7583   .0681  13.339
