# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  37  86 Rb  2.5  8.650    .17200E+00    .80000E-02    .16100E+00   .0339  6.1307   .0325  6.5110 10.4700  22    1.321   1.294   6.132    .213    .533   
  37  88 Rb  1.5  6.082    .16300E+01    .15000E+00   -.39200E+00   .0729  5.6826   .0660  6.3690 10.4200  24    1.305   1.279   6.708    .324    .276   
  38  85 Sr   .0  8.530    .32000E+00    .12000E+00    .22030E+01   .4360  7.7212   .2830  7.4890 12.0600  30     .935   1.302   7.298    .529    .871   
  38  87 Sr   .0  8.424    .26000E+01    .80000E+00    .18200E+00   .2708  5.9423   .1937  6.6030 11.1300  30    1.456   1.287   5.965    .398    .916   
  38  88 Sr  4.5 11.112    .29000E+00    .80000E-01   -.13690E+01   .2274  5.5243   .1702  5.9290 10.0500  30    1.836   1.279   6.510    .352    .622   
  38  89 Sr   .0  6.359    .23700E+02    .29000E+01   -.87400E+00   .0970  5.0056   .0845  6.1490 10.6700  30    1.334   1.272   5.938    .263    .290   
  39  90 Y    .5  6.857    .37000E+01    .40000E+00   -.11630E+01   .0795  5.2519   .0710  6.1130 10.6600  11    1.509   1.265   6.195    .184    .138   
  40  91 Zr   .0  7.195    .60000E+01    .14000E+01   -.10460E+01   .2035  5.7295   .1569  6.2160 10.4500  30    1.560   1.258   7.376    .449    .705   
  40  92 Zr  2.5  8.635    .55000E+00    .10000E+00    .11500E+00   .1690  6.3290   .1374  6.9490 11.9900  30     .934   1.251   6.010    .255    .793   
  40  93 Zr   .0  6.735    .35000E+01    .80000E+00    .53400E+00   .2486  6.5478   .1905  7.2780 12.2900  12     .926   1.244   7.133    .472    .406   
  40  94 Zr  2.5  8.221    .30200E+00    .75000E-01    .14120E+01   .3034  7.2882   .2277  7.8820   .0000  30     .918   1.238   8.847    .235    .803   
  40  95 Zr   .0  6.462    .40000E+01    .80000E+00    .14470E+01   .2360  6.7632   .1868  8.0110   .0000  10    1.335   1.231   9.852    .754    .508   
  40  97 Zr   .0  5.575    .13000E+02    .30000E+01    .23310E+01   .3175  6.4318   .2422  8.8210 14.4300  12    1.487   1.218  10.021    .912    .254   
  41  94 Nb  4.5  7.228    .94000E-01    .10000E-01    .69200E+00   .0956  7.1011   .0850  7.4150 12.4700  30     .895   1.238   7.454    .198    .528   
