#
#  Z   A           Ex     J  P L       beta  Reference                       A Z
#                [MeV]
#-------------------------------------------------------------------------------
  30  67 Zn   0.604490  4.5  1 2  -0.459335  ENSDF(Q)                       67Zn
  30  67 Zn   0.814900  3.5 -1 2   0.280000  JENDL-3.2                      67Zn
  30  67 Zn   0.870900  1.5 -1 2   0.280000  JENDL-3.2                      67Zn
  30  67 Zn   0.887700  2.5 -1 2   0.280000  JENDL-3.2                      67Zn
  30  67 Zn   2.000000  2.5  1 3   0.140000  JENDL-3.2                      67Zn
  30  67 Zn   2.500000  4.5  1 3   0.140000  JENDL-3.2                      67Zn
  30  67 Zn   3.000000  3.5  1 3   0.140000  JENDL-3.2                      67Zn
  30  68 Zn   1.077380  2.0  1 2   0.204948  Raman                          68Zn
  30  68 Zn   1.077400  2.0  1 2   0.210000  JENDL-3.2                      68Zn
  30  68 Zn   1.883140  2.0  1 2   0.039474  ENSDF(BE2)                     68Zn
  30  68 Zn   2.750380  3.0 -1 3   0.176249  ENSDF(BE3)                     68Zn
  30  68 Zn   2.750700  3.0 -1 3   0.140000  JENDL-3.2                      68Zn
  30  68 Zn   2.751000  3.0 -1 3   0.231636  Spear                          68Zn
  30  69 Zn   0.438640  4.5  1 2   0.224174  ENSDF(Q)                       69Zn
  30  70 Zn   0.884800  2.0  1 2   0.228349  Raman                          70Zn
  30  70 Zn   0.884800  2.0  1 2   0.143533  ENSDF(Q)                       70Zn
  30  70 Zn   0.884800  2.0  1 2   0.242201  ENSDF(BE2)                     70Zn
  30  70 Zn   0.884900  2.0  1 2   0.230000  JENDL-3.2                      70Zn
  30  70 Zn   1.759100  2.0  1 2   0.040367  ENSDF(BE2)                     70Zn
  30  70 Zn   2.859000  3.0 -1 3   0.215953  Spear                          70Zn
  30  70 Zn   2.859200  3.0 -1 3   0.140000  JENDL-3.2                      70Zn
  31  66 Ga   1.464330  7.0  1 2  -0.364527  ENSDF(Q)                       66Ga
  31  68 Ga   1.229870  7.0 -1 2  -0.347523  ENSDF(Q)                       68Ga
  31  69 Ga   0.318690  0.5 -1 2   0.045996  ENSDF(BE2)                     69Ga
  31  69 Ga   0.574210  2.5 -1 2   0.014967  ENSDF(BE2)                     69Ga
