# Level density parameters for EGSM & Gilbert and Cameron models (2I4,1x,a2,1x,f3.1,1x,F7.3,3E14.5,5f8.4)
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C 
#                [MeV]    [keV]         [keV]         [MeV]         [1/MeV] [1/MeV] [1/MeV]
#--------------------------------------------------------------------------------------------------------
  54 137 Xe  .0   4.026    .28800E+02    .27000E+01   -.47590E+01   .1296  6.0395   .1127  6.1800   .0000
  55 134 Cs 3.0   6.891    .21000E-01    .20000E-02   -.15460E+01   .1076  8.6688   .0958  8.8340 15.7500
  55 135 Cs 4.0   8.762    .16000E-01    .30000E-02   -.25810E+01   .1862  8.0992   .1500  8.2090 14.6600
  55 136 Cs 3.0   6.828    .51000E-01    .26000E-01   -.36690E+01   .6725  7.6270   .3625  7.3900   .0000
  56 131 Ba  .0   7.493    .58000E-01    .10000E-01    .13290E+01   .2564 10.8770   .2131 10.2220 17.3100
  56 133 Ba  .0   7.189    .11000E+00    .35000E-01    .33500E+00   .5130 10.2543   .3617  9.6470 16.8700
  56 134 Ba  .0   9.468    .20000E-01    .80000E-02   -.54600E+00   .5817  9.7511   .3684  9.0880   .0000
  56 135 Ba  .0   6.972    .37100E+00    .36000E-01   -.10620E+01   .1224  8.6613   .1078  8.7430 15.7400
  56 136 Ba 1.0   9.107    .40000E-01    .60000E-02   -.20480E+01   .1635  8.4577   .1391  8.1550 15.1600
  56 137 Ba  .0   6.906    .12100E+01    .11900E+00   -.29350E+01   .1012  7.2239   .0893  7.4760 14.5800
  56 138 Ba 1.0   8.611    .35000E+00    .50000E-01   -.38760E+01   .1229  6.6407   .1057  6.9370 13.5900
  56 139 Ba  .0   4.723    .18700E+02    .29000E+01   -.30170E+01   .2086  6.1439   .1708  7.2700 14.9400
  57 139 La 5.0   8.778    .32000E-01    .60000E-02   -.29010E+01   .1685  7.3597   .1358  7.3750 14.1000
  57 140 La 3.0   5.161    .22000E+00    .20000E-01   -.21450E+01   .1155  7.7260   .1036  7.7340 15.5300
  58 137 Ce  .0   7.481    .60000E-01    .20000E-01    .40000E-01   .5364 10.5090   .3710  9.9690 16.5100
  58 141 Ce  .0   5.428    .31000E+01    .50000E+00   -.17470E+01   .2391  7.8392   .1975  8.7310 15.9200
  58 142 Ce 3.0   7.169    .65000E-01    .20000E-01   -.10350E+01   .5316  9.6104   .3750  9.4360   .0000
  58 143 Ce  .0   5.144    .11000E+01    .30000E+00   -.35900E+00   .5299 10.3438   .3904 10.0550   .0000
  59 142 Pr 2.0   5.842    .11000E+00    .20000E-01   -.10420E+01   .2387  8.2715   .1935  8.2800 16.4800
  60 143 Nd  .0   6.123    .10300E+01    .13500E+00   -.94800E+00   .1865  8.5281   .1598  9.7970 16.8600
  60 144 Nd 3.0   7.816    .38000E-01    .20000E-02   -.24700E+00   .0728  9.5407   .0669 10.4810 16.8700
  60 145 Nd  .0   5.756    .45000E+00    .50000E-01    .46400E+00   .1894 10.7863   .1638 11.1810 18.2300
  60 146 Nd 3.0   7.565    .17000E-01    .20000E-02    .97800E+00   .1933 11.5119   .1708 11.6900 18.7700
  60 147 Nd  .0   5.291    .34000E+00    .50000E-01    .17350E+01   .2948 12.8328   .2487 12.5390 20.6800
  60 148 Nd 2.0   7.333    .40000E-02    .15000E-02    .20590E+01   .8543 15.1654   .5679 12.8330 22.0200
  60 151 Nd  .0   5.334    .16500E+00    .15000E-01    .24630E+01   .1875 14.4571   .1688 13.5730 22.0900
  61 148 Pm 3.0   5.897    .52000E-02    .12000E-02    .21760E+01   .4270 13.1129   .3350 13.1150 20.3400
  62 145 Sm  .0   6.757    .77000E+00    .45000E-01   -.58700E+00   .0722  8.1858   .0663 10.6630   .0000
  62 148 Sm 3.0   8.142    .57000E-02    .50000E-03    .14770E+01   .1387 12.2003   .1266 12.7360 19.2200
  62 149 Sm  .0   5.871    .65000E-01    .20000E-01    .22860E+01   .6830 14.5041   .4882 13.6930   .0000
  62 150 Sm 3.0   7.985    .24000E-02    .20000E-03    .25730E+01   .1464 14.2498   .1324 13.9300 21.0700
  62 151 Sm  .0   5.596    .46000E-01    .80000E-02    .32440E+01   .3918 16.4656   .3238 14.8650 23.0200
  62 152 Sm 2.0   8.258    .14000E-02    .15000E-03    .28430E+01   .1868 14.9401   .1702 14.3290 21.4700
  62 153 Sm  .0   5.867    .46000E-01    .30000E-02    .28470E+01   .1293 15.4739   .1189 14.6090 22.3200
  62 155 Sm  .0   5.807    .11400E+00    .15000E-01    .20140E+01   .2553 13.6655   .2219 13.9550 21.0000
  63 152 Eu 2.0   6.306    .73000E-03    .70000E-04    .35590E+01   .1748 16.2843   .1582 14.8280 22.9800
  63 153 Eu 3.0   8.550    .56000E-03    .20000E-03    .31660E+01   .6449 13.6391   .4395 14.3870 21.5400
  63 154 Eu 2.0   6.442    .11000E-02    .20000E-03    .29050E+01   .3329 15.0897   .2732 14.3850 21.9600
  63 155 Eu 3.0   8.151    .92000E-03    .12000E-03    .25070E+01   .2060 13.4932   .1809 14.0260 20.2700
  63 156 Eu 2.0   6.337    .43000E-02    .15000E-02    .19620E+01   .6688 12.8914   .4572 13.6960 20.0400
  64 153 Gd  .0   6.247    .14000E-01    .30000E-02    .34000E+01   .4632 16.7889   .3713 15.2150 23.0600
  64 154 Gd 1.0   8.894    .30000E-02    .60000E-03    .29630E+01   .3297 12.9968   .2685 14.6460   .0000
  64 155 Gd  .0   6.435    .14500E-01    .15000E-02    .30090E+01   .1994 16.0493   .1814 14.9820 23.1200
  64 156 Gd 1.0   8.536    .17000E-02    .20000E-03    .25200E+01   .1979 14.4724   .1785 14.4550 21.3700
  64 157 Gd  .0   6.360    .30000E-01    .60000E-02    .22490E+01   .3973 14.6916   .3207 14.4120 21.3900
  64 158 Gd 1.0   7.937    .49000E-02    .50000E-03    .19600E+01   .1767 13.9121   .1580 14.1540 21.0200
  64 159 Gd  .0   5.943    .82000E-01    .60000E-02    .17280E+01   .1375 13.8355   .1256 14.0990 21.4800
  64 161 Gd  .0   5.635    .18000E+00    .20000E-01    .12500E+01   .2127 13.0882   .1862 13.7970 20.8600
  65 160 Tb 1.0   6.375    .38200E-02    .24000E-02    .17470E+01  1.5864 13.5254   .7516 13.5250 21.1300
  66 157 Dy  .0   6.969    .28000E-02    .60000E-03    .30700E+01   .4466 17.5803   .3535 15.0720   .0000
  66 159 Dy  .0   6.831    .22000E-01    .11000E-01    .25040E+01  1.1791 14.1610   .6721 14.7150 20.8100
  66 161 Dy  .0   6.454    .27000E-01    .50000E-02    .20030E+01   .3598 14.5840   .2952 14.4310 22.1200
  66 162 Dy 2.0   8.196    .24000E-02    .20000E-03    .16460E+01   .1385 13.8421   .1279 14.0970 21.3400
  66 163 Dy  .0   6.271    .62000E-01    .50000E-02    .12970E+01   .1426 13.3867   .1313 13.9020 21.0800
  66 164 Dy 2.0   7.658    .68000E-02    .60000E-03    .11000E+01   .1500 13.1735   .1367 13.7610 21.2100
  66 165 Dy  .0   5.715    .15000E+00    .10000E-01    .94300E+00   .1238 13.1330   .1119 13.7320 21.0100
  67 166 Ho 3.0   6.244    .42000E-02    .50000E-03    .81900E+00   .1963 12.5801   .1713 12.5770 21.1600
  68 163 Er  .0   6.902    .69000E-02    .12000E-02    .24410E+01   .3367 15.9836   .2804 14.7540 23.0800
  68 165 Er  .0   6.649    .21000E-01    .40000E-02    .18520E+01   .3644 14.5167   .2972 14.3680 21.9000
  68 167 Er  .0   6.436    .38000E-01    .30000E-02    .10920E+01   .1392 13.7915   .1277 13.7860 21.4300
  68 168 Er 3.0   7.771    .42000E-02    .30000E-03    .96800E+00   .1210 13.3187   .1118 13.7240 21.4900
  68 169 Er  .0   6.003    .10000E+00    .10000E-01    .73500E+00   .1815 13.0881   .1625 13.6020 21.3200
  68 171 Er  .0   5.682    .14700E+00    .20000E-01    .50300E+00   .2604 13.1557   .2253 13.5270 21.5200
  69 170 Tm  .0   6.593    .85000E-02    .70000E-03    .66600E+00   .1287 12.7173   .1162 12.9630 21.0300
  69 171 Tm 1.0   7.486    .39000E-02    .10000E-02    .73900E+00   .4525 13.3578   .3459 13.1070   .0000
  70 169 Yb  .0   6.867    .80000E-02    .30000E-02    .16670E+01   .8232 15.6061   .5471 13.9130 21.4100
  70 170 Yb 3.0   8.470    .16000E-02    .40000E-03    .13960E+01   .4482 13.4959   .3435 13.6920   .0000
  70 171 Yb  .0   6.614    .35000E-01    .60000E-02    .11080E+01   .3130 13.5488   .2609 13.5470 22.1400
  70 172 Yb  .0   8.020    .69000E-02    .50000E-03    .91600E+00   .1204 13.9409   .1126 13.4170 21.7900
  70 173 Yb  .0   6.367    .76000E-01    .50000E-02    .52200E+00   .1113 12.6610   .1039 13.1350 21.0400
  70 174 Yb 2.0   7.464    .75000E-02    .50000E-03    .52700E+00   .1137 13.2596   .1061 13.2110 21.0400
  70 175 Yb  .0   5.822    .19200E+00    .18000E-01    .33400E+00   .1684 12.3113   .1515 13.1080 20.9700
  70 177 Yb  .0   5.567    .24000E+00    .20000E-01    .31600E+00   .1546 12.5533   .1399 13.2420 21.6200
