# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  34  78 Se  .5  10.498    .12000E+00    .15000E-01    .35080E+01   .1160  7.7090   .1023  7.5490 11.7600  30     .614   1.359   5.991    .251    .676
  34  79 Se  .0   6.962    .15000E+01    .30000E+00    .35080E+01   .2479  7.4994   .1959  7.8610 12.1000  30     .640   1.350   4.973    .248    .913
  34  81 Se  .0   6.701    .24000E+01    .80000E+00    .21510E+01   .4345  7.0629   .2937  7.3030 11.6200  11     .660   1.333   7.667   1.097   -.033
  34  83 Se  .0   5.818    .50000E+01    .25000E+01    .85400E+00   .8226  6.8636   .4449  6.7630 11.9700  12    1.055   1.317   9.653   1.911    .727
  35  80 Br 1.5   7.892    .47000E-01    .50000E-02    .36930E+01   .1011  7.9348   .0903  7.9030 12.1000  30     .642   1.342   6.430    .123    .390
  35  82 Br 1.5   7.593    .10000E+00    .15000E-01    .22790E+01   .1379  7.3567   .1166  7.3930 11.8400  30     .715   1.325   6.526    .183    .210
  36  79 Kr  .0   8.353    .25000E+00    .80000E-01    .40620E+01   .3920  8.1513   .2730  7.4230 12.8000  30     .536   1.350   6.137    .312    .631
  36  81 Kr  .0   7.872    .28000E+00    .80000E-01    .36570E+01   .3718  8.4963   .2693  7.4520 13.2800  30     .697   1.333   7.280    .354    .744
  36  84 Kr 4.5  10.520    .20000E+00    .10000E+00    .14000E+01   .5248  6.1035   .2967  6.5270   .0000  30     .882   1.309   5.284    .425    .502
  36  85 Kr  .0   7.121    .40000E+01    .40000E+00    .82900E+00   .0899  6.1787   .0792  6.3840   .0000  30    1.223   1.302  11.469    .376    .601
  36  87 Kr  .0   5.515    .29000E+02    .15000E+01   -.10600E+00   .0481  5.2155   .0435  6.0370   .0000  30    1.528   2.708    .000    .000    .000
  37  86 Rb 2.5   8.650    .17200E+00    .80000E-02    .16100E+00   .0348  6.0956   .0311  5.9400 10.4700  22    1.321   1.294   6.132    .213    .533
  37  88 Rb 1.5   6.082    .16300E+01    .15000E+00   -.39200E+00   .0729  5.6564   .0654  5.8100 10.4200  24    1.305   1.279   6.708    .324    .276
  38  85 Sr  .0   8.530    .32000E+00    .12000E+00    .22030E+01   .4352  7.7089   .2825  6.8500 12.0600  30     .935   1.302   7.298    .529    .871
  38  87 Sr  .0   8.427    .26000E+01    .80000E+00    .18200E+00   .2703  5.9309   .1930  6.0390 11.1300  30    1.456   1.287   5.965    .398    .916
  38  88 Sr 4.5  11.113    .29000E+00    .80000E-01   -.13690E+01   .2235  5.4456   .1666  5.4210 10.0500  30    1.836   1.279   6.510    .352    .622
  38  89 Sr  .0   6.358    .23700E+02    .29000E+01   -.87400E+00   .0978  4.9938   .0830  5.6220 10.6700  30    1.334   1.272   5.938    .263    .290
  39  90 Y   .5   6.857    .37000E+01    .40000E+00   -.11630E+01   .0793  5.2438   .0704  5.2490 10.6600  11    1.509   1.265   6.195    .184    .138
  40  91 Zr  .0   7.194    .60000E+01    .14000E+01   -.10460E+01   .2030  5.7186   .1566  5.3960 10.4500  30    1.560   1.258   7.376    .449    .705
  40  92 Zr 2.5   8.635    .55000E+00    .10000E+00    .11500E+00   .1694  6.2793   .1379  6.0320 11.9900  30     .934   1.251   6.010    .255    .793
  40  93 Zr  .0   6.733    .35000E+01    .80000E+00    .53400E+00   .2488  6.5354   .1897  6.3170 12.2900  12     .926   1.244   7.133    .472    .406
  40  94 Zr 2.5   8.220    .30200E+00    .75000E-01    .14120E+01   .3061  7.2483   .2289  6.8400   .0000  30     .918   1.238   8.847    .235    .803
  40  95 Zr  .0   6.463    .40000E+01    .80000E+00    .14470E+01   .2349  6.7494   .1855  6.9510   .0000  10    1.335   1.231   9.852    .754    .508
  40  97 Zr  .0   5.579    .13000E+02    .30000E+01    .23310E+01   .3180  6.4150   .2404  7.6530 14.4300  12    1.487   1.218  10.021    .912    .254
  41  94 Nb 4.5   7.227    .94000E-01    .10000E-01    .69200E+00   .0963  6.9925   .0854  6.9900 12.4700  30     .895   1.238   7.454    .198    .528
  42  93 Mo  .0   8.070    .27000E+01    .50000E+00   -.15260E+01   .1499  5.9599   .1228  5.9920 10.9900  30    1.190   1.244   6.543    .280    .695
  42  95 Mo  .0   7.369    .13200E+01    .18000E+00    .26600E+00   .1360  7.0177   .1157  7.1200 12.5200  27     .825   1.231   6.783    .210    .800
